x1,x2,x3,x4,x5,x6,x7,x8,y
200,24420,29600,28,47,1,0,1,71400
228,19993,32582,29,28,1,0,1,65200
392,4300,4300,22,0,0,0,0,7100
90,11140,11140,29,10,1,0,0,31000
126,33060,33060,28,60,1,1,0,87000
389,7562,9000,25,50,1,0,1,22800
380,3935,16000,23,1,1,0,0,7500
147,6146,7170,29,51,1,1,1,43300
463,2880,16000,23,0,0,0,0,7400
42,20300,20300,30,80,1,1,1,46600
50,8500,8500,32,20,1,0,1,49300
138,16000,22800,32,26,0,0,1,49600
60,11513,11513,26,37,1,0,1,34000
12,17172,19778,34,27,0,0,1,60100
200,17355,17355,25,6,1,0,1,17600
350,16200,22500,30,30,1,1,1,52500
300,18200,18200,29,90,0,1,1,25000
20,16426,23100,30,10,0,0,1,66000
30,13106,21625,37,35,0,1,1,41400
30,13880,17765,32,30,0,1,1,48900
240,1000,1000,24,0,0,0,1,7000
98,9475,19097,29,43,1,0,1,55000
70,11250,26300,23,2.5,0,0,0,7500
30,2260,2260,32,15,0,1,1,16000
44,3300,3600,28,3.5,1,0,1,13100
